route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
16,radni_dan,Linija_16_Smer_A_radni_dan_T36,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T37,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T38,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T39,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T40,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T41,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T42,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_A_radni_dan_T43,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T01,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T02,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T03,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T04,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T05,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T06,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T07,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T08,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T09,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T10,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T11,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T12,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T13,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T14,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T15,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T16,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T17,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T18,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T19,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T20,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T21,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T22,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T23,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T24,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T25,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T26,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T27,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T28,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T29,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T30,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T31,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T32,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T33,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T34,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T35,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T36,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T37,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T38,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T39,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T40,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T41,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T42,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,radni_dan,Linija_16_Smer_B_radni_dan_T43,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_A_subota_T01,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T02,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T03,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T04,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,subota,Linija_16_Smer_A_subota_T05,Aleksandrovo,0,,Linija_16_Smer_A,0,
