stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
46830,46830,Kelebija Opština,,46.124224,19.611253,1,,,,,0
46831,46831,Kelebija Opština,,46.124074,19.611575,1,,,,,0
46840,46840,Veliki Progon,,46.118792,19.622689,1,,,,,0
46841,46841,Veliki Progon,,46.119356,19.62165,1,,,,,0
46850,46850,Zorka Okretište,,46.115283,19.629737,1,,,,,0
46851,46851,Zorka Okretište,,46.115551,19.629482,1,,,,,0
46860,46860,Zorka,,46.113645,19.632783,1,,,,,0
46861,46861,Zorka,,46.113851,19.632562,1,,,,,0
46870,46870,Zorka Pruga,,46.11101,19.637665,1,,,,,0
46871,46871,Zorka Pruga,,46.111514,19.63621,1,,,,,0
46880,46880,O.Š. Sečenji Ištvan,,46.107174,19.643451,1,,,,,0
46881,46881,O.Š. Sečenji Ištvan,,46.107109,19.643784,1,,,,,0
46890,46890,Zdravstvena Stanica,,46.10393,19.647978,1,,,,,0
46891,46891,Zdravstvena Stanica,,46.104041,19.647979,1,,,,,0
46900,46900,Sadecki,,46.100052,19.653378,1,,,,,0
46901,46901,Sadecki,,46.100096,19.65348,1,,,,,0
46910,46910,Preradovićeva,,46.09754,19.656544,1,,,,,0
46911,46911,Preradovićeva,,46.097585,19.656597,1,,,,,0
46912,46912,Preradovićeva,,46.096373,19.656617,1,,,,,0
46913,46913,Preradovićeva,,46.096524,19.656547,1,,,,,0
46920,46920,Lifka,,46.098422,19.660073,1,,,,,0
46921,46921,Lifka,,46.098348,19.659736,1,,,,,0
46930,46930,Sinagoga,,46.10062,19.660853,1,,,,,0
46931,46931,Sinagoga,,46.1013,19.660342,1,,,,,0
46940,46940,Arsenija Čarnojevića,,46.103747,19.665628,1,,,,,0
46941,46941,Arsenija Čarnojevića,,46.103297,19.663984,1,,,,,0
46950,46950,Higijenski Zavod,,46.102784,19.668193,1,,,,,0
46951,46951,Higijenski Zavod,,46.10383,19.667864,1,,,,,0
46960,46960,Jadran,,46.100594,19.669294,1,,,,,0
46961,46961,Jadran,,46.100575,19.669536,1,,,,,0
46970,46970,Mešc,,46.097497,19.670768,1,,,,,0
46971,46971,Mešc,,46.097641,19.670883,1,,,,,0
46980,46980,Autobuska Stanica Grad,,46.094787,19.673747,1,,,,,0
46981,46981,Autobuska Stanica Grad,,46.094571,19.674466,1,,,,,0
46990,46990,Dinamotrans,,46.090973,19.680395,1,,,,,0
46991,46991,Dinamotrans,,46.091263,19.680246,1,,,,,0
47000,47000,Senćansko Groblje,,46.088009,19.6836,1,,,,,0
47001,47001,Senćansko Groblje,,46.088467,19.683376,1,,,,,0
47010,47010,Bajnatska I,,46.085784,19.678787,1,,,,,0
47011,47011,Bajnatska I,,46.085617,19.678617,1,,,,,0
47020,47020,Bajnatska II,,46.084356,19.674823,1,,,,,0
47021,47021,Bajnatska II,,46.084157,19.674543,1,,,,,0
47030,47030,Bolnica 1 Subotica,,46.08284,19.672691,1,,,,,0
47031,47031,Bolnica 1 Subotica,,46.082499,19.672468,1,,,,,0
47040,47040,Pačirski Put,,46.079068,19.666485,1,,,,,0
47041,47041,Pačirski Put,,46.078274,19.66666,1,,,,,0
47050,47050,Dušana Krnjanskog,,46.075378,19.670467,1,,,,,0
47051,47051,Dušana Krnjanskog,,46.075786,19.670128,1,,,,,0
47060,47060,Novo Naselje Pijaca,,46.071477,19.673937,1,,,,,0
47061,47061,Novo Naselje Pijaca,,46.071666,19.673989,1,,,,,0
47070,47070,Josipa Lihta,,46.069297,19.670775,1,,,,,0
47071,47071,Josipa Lihta,,46.069182,19.67069,1,,,,,0
47080,47080,Josipa Šokčića,,46.06769,19.668383,1,,,,,0
47081,47081,Josipa Šokčića,,46.067762,19.668667,1,,,,,0
47090,47090,Slavica,,46.091265,19.648159,1,,,,,0
47091,47091,Slavica,,46.091828,19.648728,1,,,,,0
47100,47100,Petra Horvatskog,,46.065408,19.670868,1,,,,,0
